Disease,Model,Accuracy,Precision,Recall,Specificity,F1,ROC-AUC
Chronic Kidney Disease,Random Forest,0.9186746987951807,0.9186746987951807,1.0,0.0,0.957613814756672,0.8058287795992715
Chronic Kidney Disease,Logistic Regression,0.7259036144578314,0.9692982456140351,0.7245901639344262,0.7407407407407407,0.8292682926829268,0.8043715846994536
Chronic Kidney Disease,XGBoost,0.8975903614457831,0.9501661129568106,0.9377049180327869,0.4444444444444444,0.9438943894389439,0.78749241044323
Diabetes,XGBoost,0.8972958918356734,0.45910290237467016,0.9233490566037735,0.894775864035588,0.613275895829254,0.9779360947786618
Diabetes,Random Forest,0.9691107644305772,0.942215088282504,0.6922169811320755,0.9958936922550473,0.7980965329707682,0.9638601068328704
Diabetes,Logistic Regression,0.8845033801352055,0.4251923624964377,0.8797169811320755,0.8849663510893122,0.5732949087415946,0.9600621958738924
Heart Disease,Logistic Regression,0.825136612021858,0.8165137614678899,0.8811881188118812,0.7560975609756098,0.8476190476190476,0.9001448925380343
Heart Disease,Random Forest,0.8087431693989071,0.8,0.8712871287128713,0.7317073170731707,0.8341232227488151,0.8909683651291959
Heart Disease,XGBoost,0.7978142076502732,0.8076923076923077,0.8316831683168316,0.7560975609756098,0.8195121951219512,0.8775658053610239
