Disease,Model,Accuracy,Precision,Recall,Specificity,F1,ROC-AUC
Chronic Kidney Disease,Random Forest,0.9186746987951807,0.9186746987951807,1.0,0.0,0.957613814756672,0.8058287795992715
Diabetes,XGBoost,0.8972958918356734,0.45910290237467016,0.9233490566037735,0.894775864035588,0.613275895829254,0.9779360947786618
Heart Disease,Logistic Regression,0.825136612021858,0.8165137614678899,0.8811881188118812,0.7560975609756098,0.8476190476190476,0.9001448925380343
